Model,R2,MAE,RMSE,Dataset.seed,Training.seed,Threshold.scope,Imputation.scope
bagEarth,0.8526271167,6.566401098,8.253250751,2879,1,full_before_split,split_separate
bagEarth,0.8526139859,6.432985175,8.088544572,1455,1,full_before_split,split_separate
bagEarth,0.8525428893,6.337314266,8.031261849,153,1,full_before_split,split_separate
bagEarth,0.8525205418,6.389884279,8.14441655,94,1,full_before_split,split_separate
bagEarth,0.85244772,6.319320693,8.21247317,3122,1,full_before_split,split_separate
bagEarth,0.8524421227,6.169917019,7.776137125,1352,1,full_before_split,split_separate
bagEarth,0.8524070887,6.354729578,8.33605502,300,1,full_before_split,split_separate
bagEarth,0.8524058198,6.436196875,8.087457346,1759,1,full_before_split,split_separate
bagEarth,0.8522827918,6.332535939,8.136949809,3414,1,full_before_split,split_separate
bagEarth,0.8522800045,7.033508571,8.570375485,2403,1,full_before_split,split_separate
bagEarth,0.8522245064,6.382863487,8.052873269,1747,1,full_before_split,split_separate
bagEarth,0.852185632,6.784562548,8.295546036,3375,1,full_before_split,split_separate
bagEarth,0.8521652,6.247786803,8.001928876,2303,1,full_before_split,split_separate
bagEarth,0.8521292159,6.412554929,8.238441565,1543,1,full_before_split,split_separate
bagEarth,0.8521194528,6.317472374,8.238251559,480,1,full_before_split,split_separate
bagEarth,0.8521145352,6.323112671,8.088586103,1189,1,full_before_split,split_separate
bagEarth,0.8520751392,6.740000454,8.225782536,190,1,full_before_split,split_separate
bagEarth,0.8520501211,6.909343143,8.222035305,2375,1,full_before_split,split_separate
bagEarth,0.8519567208,6.152407897,8.140786735,1028,1,full_before_split,split_separate
bagEarth,0.8519353081,6.312355012,8.111900068,3779,1,full_before_split,split_separate
bagEarth,0.8519187473,6.591938322,8.156941787,3421,1,full_before_split,split_separate
bagEarth,0.8518740648,6.291646411,8.023830186,3523,1,full_before_split,split_separate
bagEarth,0.8518276622,6.634747054,8.201161246,1228,1,full_before_split,split_separate
bagEarth,0.8517619509,6.292037843,8.039369863,1114,1,full_before_split,split_separate
bagEarth,0.8517576088,6.488402853,8.123903544,3027,1,full_before_split,split_separate
bagEarth,0.8517439533,6.538661702,8.350558766,457,1,full_before_split,split_separate
