Model,R2,MAE,RMSE,Dataset.seed,Training.seed,Threshold.scope,Imputation.scope
brnn,0.8525951816,6.335277373,8.052891876,211,1,full_before_split,split_separate
brnn,0.8525507036,6.684357455,8.244328345,3535,1,full_before_split,split_separate
brnn,0.8524901384,6.252591673,8.241549231,363,1,full_before_split,split_separate
brnn,0.8522633716,6.014149795,8.01743845,2608,1,full_before_split,split_separate
brnn,0.8522608035,6.254583223,7.836508014,2775,1,full_before_split,split_separate
brnn,0.8522250044,5.88391342,7.68884456,2077,1,full_before_split,split_separate
brnn,0.8520682681,5.929151227,7.959427379,1508,1,full_before_split,split_separate
brnn,0.8519299852,6.106648082,8.007610549,2694,1,full_before_split,split_separate
brnn,0.8518694127,6.489452786,8.004595729,1441,1,full_before_split,split_separate
brnn,0.8518373083,6.001414233,7.91533038,399,1,full_before_split,split_separate
brnn,0.8517935096,6.211907205,8.087642872,2680,1,full_before_split,split_separate
brnn,0.8516313012,6.36439554,8.349139335,3979,1,full_before_split,split_separate
brnn,0.8516299802,6.278208928,8.046561259,1211,1,full_before_split,split_separate
brnn,0.8516068013,6.311453818,8.063471381,2319,1,full_before_split,split_separate
brnn,0.8515868029,6.223665029,8.030012656,3078,1,full_before_split,split_separate
brnn,0.8515779762,6.424183886,8.14392895,998,1,full_before_split,split_separate
brnn,0.8515666166,6.372821723,8.003338863,2530,1,full_before_split,split_separate
brnn,0.851552256,6.131177823,7.993658413,937,1,full_before_split,split_separate
brnn,0.8515253523,6.163609668,7.792260798,451,1,full_before_split,split_separate
brnn,0.8515170693,6.225175893,8.219533588,1165,1,full_before_split,split_separate
brnn,0.8515020919,6.068292376,8.36638746,1385,1,full_before_split,split_separate
brnn,0.8513765271,6.230779037,8.195993231,1157,1,full_before_split,split_separate
brnn,0.8513458699,6.504936227,8.217554186,847,1,full_before_split,split_separate
brnn,0.8513380032,6.324620908,7.858228855,117,1,full_before_split,split_separate
brnn,0.8513132091,6.270440642,7.872323345,3004,1,full_before_split,split_separate
brnn,0.8511486525,6.124343411,7.930563747,1890,1,full_before_split,split_separate
brnn,0.8510690175,6.300931616,8.121935342,2060,1,full_before_split,split_separate
brnn,0.851050311,6.358835349,7.911746122,1226,1,full_before_split,split_separate
brnn,0.8510485555,6.014355523,7.921176282,1837,1,full_before_split,split_separate
brnn,0.8510472431,6.371235425,8.283816211,3241,1,full_before_split,split_separate
brnn,0.8510268617,6.472133598,8.24741682,1201,1,full_before_split,split_separate
brnn,0.8509344548,6.341548831,8.038886974,3888,1,full_before_split,split_separate
brnn,0.8509303578,6.365194548,8.237965679,2753,1,full_before_split,split_separate
brnn,0.850822163,6.256856201,8.207840441,3468,1,full_before_split,split_separate
brnn,0.850731652,6.371366732,8.269511337,1867,1,full_before_split,split_separate
brnn,0.8507209268,6.160851116,7.86598717,176,1,full_before_split,split_separate
brnn,0.8507038971,6.514993117,8.186682471,2785,1,full_before_split,split_separate
brnn,0.8506869608,6.375976893,8.047552052,269,1,full_before_split,split_separate
brnn,0.8506720681,6.204118912,8.198110244,619,1,full_before_split,split_separate
brnn,0.8506614742,6.335577843,8.292458463,2933,1,full_before_split,split_separate
brnn,0.8506009774,6.379084275,8.357732808,1393,1,full_before_split,split_separate
brnn,0.8505546876,6.426429605,8.25329092,1980,1,full_before_split,split_separate
brnn,0.8505290853,6.265928291,8.107458371,3153,1,full_before_split,split_separate
brnn,0.850495999,6.681817556,8.390232831,2828,1,full_before_split,split_separate
brnn,0.850477771,6.326343915,8.270429563,3305,1,full_before_split,split_separate
brnn,0.8504729163,6.233085681,8.123910308,1457,1,full_before_split,split_separate
